# wav-to-duration --read-entire-file=false scp:data/train/split4utt/4/wav.scp ark,t:data/train/split4utt/4/utt2dur 
# Started at Tue Mar  9 16:42:32 UTC 2021
#
wav-to-duration --read-entire-file=false scp:data/train/split4utt/4/wav.scp ark,t:data/train/split4utt/4/utt2dur 
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 129058 bytes in RIFF chunk, but after first data block there will be 36 + 128958 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 92212 bytes in RIFF chunk, but after first data block there will be 36 + 92112 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 84842 bytes in RIFF chunk, but after first data block there will be 36 + 84742 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 129058 bytes in RIFF chunk, but after first data block there will be 36 + 128958 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 22410 bytes in RIFF chunk, but after first data block there will be 36 + 22292 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 19810 bytes in RIFF chunk, but after first data block there will be 36 + 19692 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 20180 bytes in RIFF chunk, but after first data block there will be 36 + 20062 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 22038 bytes in RIFF chunk, but after first data block there will be 36 + 21920 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 32812 bytes in RIFF chunk, but after first data block there will be 36 + 32694 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 19808 bytes in RIFF chunk, but after first data block there will be 36 + 19690 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 26126 bytes in RIFF chunk, but after first data block there will be 36 + 26008 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 21666 bytes in RIFF chunk, but after first data block there will be 36 + 21548 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 17952 bytes in RIFF chunk, but after first data block there will be 36 + 17834 bytes (we do not support reading multiple data chunks).
